"ID","Title","President"
"12265","Federal Consumer Programs","39 - Jimmy Carter"
"12275","Design Liaison Council","39 - Jimmy Carter"
"12286","Responses to Environmental Damage","39 - Jimmy Carter"
"12301","Integrity and Efficiency in Federal Programs","40 - Ronald Reagan"
"12314","Federal Regional Councils","40 - Ronald Reagan"
"12316","Responses to Environmental Damage","40 - Ronald Reagan"
"12333","United States Intelligence Activities","40 - Ronald Reagan"
"12336","Task Force on Legal Equity for Women","40 - Ronald Reagan"
"12338","Exclusions From the Federal Labor- Management Relations Program","40 - Ronald Reagan"
"12344","Naval Nuclear Propulsion Program","40 - Ronald Reagan"
"12346","Synthetic Fuels","40 - Ronald Reagan"
"12352","Federal Procurement Reforms","40 - Ronald Reagan"
"12356","National Security Information","40 - Ronald Reagan"
"12391","Partial Suspension of Federal Service Labor-Management Relations","40 - Ronald Reagan"
"12399","Continuance of Certain Federal Advisory Committees","40 - Ronald Reagan"
"12400","President's Commission on Strategic Forces","40 - Ronald Reagan"
"12424","President's Commission on Strategic Forces","40 - Ronald Reagan"
"12448","Regulations Related to Voiding or Rescission of Contracts","40 - Ronald Reagan"
"12465","Commercial Expendable Launch Vehicle Activities","40 - Ronald Reagan"
"12472","Assignment of National Security and Emergency Preparedness Telecommunications Functions","40 - Ronald Reagan"
"12479","Management Reform in the Federal Government","40 - Ronald Reagan"
"12489","Continuance of Certain Federal Advisory Committees","40 - Ronald Reagan"
"12490","National Commission on Space","40 - Ronald Reagan"
"12500","Delegation to the Secretary of State and the Director of the International Development Cooperation Agency Concerning Foreign Assistance","40 - Ronald Reagan"
"12501","Arctic Research","40 - Ronald Reagan"
"12502","Chemical Warfare Review Commission","40 - Ronald Reagan"
"12509","Technical Review Group on Inertial Confinement Fusion","40 - Ronald Reagan"
"12514","Prescribing the Order of Succession of Officers To Act as Secretary of Defense, Secretary of the Army, Secretary of the Navy, and Secretary of the Air Force","40 - Ronald Reagan"
"12520","Quarters Allowance to Department of Defense Employees In Panama","40 - Ronald Reagan"
"12526","President's Blue Ribbon Commission on Defense Management","40 - Ronald Reagan"
"12530","Establishment of Nicaraguan Humanitarian Assistance Office","40 - Ronald Reagan"
"12534","Continuance of Certain Federal Advisory Committees","40 - Ronald Reagan"
"12540","Adjustments of Certain Rates of Pay and Allowances","40 - Ronald Reagan"
"12545","National Commission on Space","40 - Ronald Reagan"
"12546","Presidential Commission on the Space Shuttle Challenger Accident","40 - Ronald Reagan"
"12553","Revocation of Various Executive Orders","40 - Ronald Reagan"
"12560","Administration of Foreign Relations and Related Functions","40 - Ronald Reagan"
"12566","Safety Belt Use Requirements for Federal Employees","40 - Ronald Reagan"
"12568","Employment Opportunities for Military Spouses at Nonappropriated Fund Activities","40 - Ronald Reagan"
"12569","Compact of Free Association With the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau","40 - Ronald Reagan"
"12571","Implementation of the Comprehensive Anti-Apartheid Act","40 - Ronald Reagan"
"12580","Superfund Implementation","40 - Ronald Reagan"
"12591","Facilitating Access to Science and Technology","40 - Ronald Reagan"
"12608","Elimination of Unnecessary Executive Orders and Technical Amendments to Others","40 - Ronald Reagan"
"12610","Continuance of Certain Federal Advisory Committees","40 - Ronald Reagan"
"12623","Delegating Authority To Implement Assistance to the Nicaraguan Democratic Resistance","40 - Ronald Reagan"
"12634","Delegating Authority to Provide Assistance and Support for Peace, Democracy, and Reconciliation in Central America","40 - Ronald Reagan"
"12641","John C. Stennis Space Center","40 - Ronald Reagan"
"12642","Designation of the Secretary of Defense as the Presidential Designee Under Title I of the Uniformed and Overseas Citizens Absentee Voting Act","40 - Ronald Reagan"
"12652","Return of Authority To Administer Federal Employees' Compensation Act to the Department of Labor From the Panama Canal Commission","40 - Ronald Reagan"
"12654","Delegating Authority to Provide Assistance for the Nicaraguan Resistance","40 - Ronald Reagan"
"12656","Assignment of Emergency Preparedness Responsibilities","40 - Ronald Reagan"
"12660","National Microgravity Research Board","40 - Ronald Reagan"
"12661","Implementing the Omnibus Trade and Competitiveness Act of 1988 and Related International Trade Matters","40 - Ronald Reagan"
"12675","Establishing the National Space Council","41 - George H. W. Bush"
"12678","Level IV of the Executive Schedule","41 - George H. W. Bush"
"12682","Commission on Alternative Utilization of Military Facilities","41 - George H. W. Bush"
"12688","Transfer Authority Choctawhatchee National Forest, Florida","41 - George H. W. Bush"
"12692","Continuance of Certain Federal Advisory Committees","41 - George H. W. Bush"
"12693","Exclusion of the Defense Mapping Agency Reston Center and Elements Under the Joint Special Operations Command From the Federal Labor-Management Relations Program","41 - George H. W. Bush"
"12700","President's Council of Advisors on Science and Technology","41 - George H. W. Bush"
"12734","National Emergency Construction Authority","41 - George H. W. Bush"
"12742","National Security Industrial Responsiveness","41 - George H. W. Bush"
"12743","Ordering the Ready Reserve of the Armed Forces to Active Duty","41 - George H. W. Bush"
"12751","Health Care Services for Operation Desert Storm","41 - George H. W. Bush"
