"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"Inspection of Income, Excess-Profits, Estate, and Gift Tax returns by the House Committee on Public Works","1960","34-Eisenhower",FALSE,"__DOTr__",193,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106542"
"United States International Development Cooperation Agency","1979","39-Carter",FALSE,"",106,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=32618"
"Amending the Selective Service Regulations","1963","35-Kennedy",FALSE,"",237,0,"10735; 10984; 11098","11241; 11497; 11527; 11537; 11563; 12553","http://www.presidency.ucsb.edu/ws/index.php?pid=59058"
"Creating an Emergency Board to Investigate a Dispute Between the Railway Express Agency, Inc., and Certain of Its Employees","1950","33-Truman",FALSE,"__war__",248,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=78336"
"Amendment Relating to Basic Allowance for Quarters","1991","41-H.W. Bush",FALSE,"",96,0,"11157","","http://www.presidency.ucsb.edu/ws/index.php?pid=23601"
"Revocation of Certain Executive Orders Concerning Federal Contracting","1993","42-Clinton",FALSE,"",149,0,"12818; 12800","13201; 13202","http://www.presidency.ucsb.edu/ws/index.php?pid=61532"
"Suspending Certain Statutory Provisions Relating to Employment in the Canal Zone","1948","33-Truman",FALSE,"__DOD__",169,0,"","10040","http://www.presidency.ucsb.edu/ws/index.php?pid=78219"
"President's Special Review Board","1987","40-Reagan",FALSE,"",103,0,"12575","","http://www.presidency.ucsb.edu/ws/index.php?pid=34497"
"Providing Assistance for the Removal of Unlawful Obstructions of Justice in the State of Mississippi","1962","35-Kennedy",FALSE,"__DOD__",599,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=58992"
"Inspection of Returns by Senate Committee on the Judiciary","1952","33-Truman",FALSE,"",179,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=78512"
"Designating Certain Public International Organizations Entitled to Enjoy Certain Privileges, Exemptions, and Immunities","1977","38-Ford",FALSE,"",330,0,"11718","","http://www.presidency.ucsb.edu/ws/index.php?pid=23770"
"Assigning Foreign Affairs Functions and Implementing the Enterprise for the Americas Initiative and the Tropical Forest Conservation Act","2004","43-G. W. Bush",FALSE,"__foreign__; __DOTr__; __State__; __USDA__; __OMB__; __EPA__; __CEQ__; __economy__; __DOC__; __DOI__; __DOJ__; __security__",1211,0,"11269; 12757; 12823; 13028; 13131","","http://www.presidency.ucsb.edu/ws/index.php?pid=61439"
"Creating an Emergency Board to Investigate Disputes Between the Carriers Represented by the National Railway Labor Conference and Certain of Their Employees","1964","36-Johnson",FALSE,"",1006,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=106248"
"Relating to Aerial Flights By Personnel of the Coast and Geodetic Survey","1945","33-Truman",FALSE,"__health__",199,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=77876"
"Terminating the President's Advisory Committee on Supersonic Transport","1968","36-Johnson",FALSE,"",90,0,"11149; 11382","","http://www.presidency.ucsb.edu/ws/index.php?pid=106197"
"Payment of Certain Benefits to Survivors of Persons Who Died in or as a Result of Military Service","1983","40-Reagan",FALSE,"__HHS__; __DOD__",315,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=41660"
"Establishment of Pakistan and Afghanistan Support Office","2010","44-Obama",FALSE,"__State__; __security__; __economy__; __OMB__; __budget__",469,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=88354"
"Establishing the National Advisory Board on Mobilization Policy","1951","33-Truman",FALSE,"",376,0,"","10461; 10480; 10773","http://www.presidency.ucsb.edu/ws/index.php?pid=78376"
"Transferring Jurisdiction Over Certain Lands From the Department of Agriculture to the Department of the Interior, for Use, Administration, or Exchange Under the Taylor Grazing Act and Other Statutes","1958","34-Eisenhower",FALSE,"__USDA__; __DOI__",797,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106320"
"Inspection of Income, Estate, and Gift Tax Returns by the Committee on Public Works, House of Representatives","1967","36-Johnson",FALSE,"__DOTr__",187,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106103"
"Excusing Federal Employees Rom Duty One-Half Day on December 24, 1947","1947","33-Truman",FALSE,"",170,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=78152"
"Assignment of Certain Pay-Related Functions","2006","43-G. W. Bush",FALSE,"",202,0,"12748; 12828","","http://www.presidency.ucsb.edu/ws/index.php?pid=24331"
"Adjustments of Certain Rates of Pay","2000","42-Clinton",FALSE,"__foreign__; __health__; __VA__",442,0,"10639; 13144","13249","http://www.presidency.ucsb.edu/ws/index.php?pid=61673"
"Amending Executive Order No. 9386 of October 15, 1943, Prescribing Regulations Governming the Granting of Allowances for Quarters and Subsistence to Enlisted Men","1947","33-Truman",FALSE,"",367,0,"","9871","http://www.presidency.ucsb.edu/ws/index.php?pid=78141"
"Providing for an Additional Member and for an Executive Vice Chairman of the Government Contract Committee","1957","34-Eisenhower",FALSE,"",149,0,"10479; 10482","10925","http://www.presidency.ucsb.edu/ws/index.php?pid=106342"
"Executive Order 10321 Amended","1952","33-Truman",FALSE,"",91,0,"10321","","http://www.presidency.ucsb.edu/ws/index.php?pid=78517"
"Providing for the Coordination by the Attorney General of Federal Law Enforcement and Crime Prevention Programs","1968","36-Johnson",FALSE,"__DOJ__",399,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=59172"
"The Honorable Francis E. Meloy, Jr. and Robert O. Waring","1976","38-Ford",FALSE,"__war__; __economy__",157,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=60472"
"Facilitation of Cooperative Conservation","2004","43-G. W. Bush",FALSE,"__DOI__; __EPA__; __environment__; __health__; __CEQ__",521,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=61446"
"Amending Executive Order No. 11157 as it Relates to Incentive Pay for Hazardous Duty Involving Participation in Flight Operations on the Flight Deck of an Aircraft Carrier","1969","37-Nixon",FALSE,"__DOD__",256,0,"11157; 11242","","http://www.presidency.ucsb.edu/ws/index.php?pid=105988"
"Imports From Uganda","1979","39-Carter",FALSE,"__DOTr__; __State__",259,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=31746"
"Creating an Emergency Board to Investigate a Dispute Between the Railway Express Agency, Inc., and Certain of Its Employees","1948","33-Truman",FALSE,"__war__",239,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=78176"
"Restoring Certain Land to the Jurisdiction of the Territory of Hawaii","1947","33-Truman",FALSE,"",275,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=60718"
"Termination of the Wage and Price Regulatory Program","1981","40-Reagan",FALSE,"",165,0,"12092","","http://www.presidency.ucsb.edu/ws/index.php?pid=44112"
"Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Special Committee to Investigate Organized Crime in Interstate Commerce","1950","33-Truman",FALSE,"",134,0,"","10279","http://www.presidency.ucsb.edu/ws/index.php?pid=78309"
"Administration of Foreign Relations and Related Functions","1986","40-Reagan",FALSE,"__foreign__; __State__; __DOD__; __security__; __DOTr__",927,0,"12163; 11958","","http://www.presidency.ucsb.edu/ws/index.php?pid=37351"
"Creating a Board of Inquiry to Report on a Labor Dispute Affecting the Bituminous Coal Industry of the United States","1948","33-Truman",FALSE,"__foreign__; __health__",283,0,"9939","","http://www.presidency.ucsb.edu/ws/index.php?pid=78200"
"Promulgating Regulations Concerning Withholding of Compensation of Civilian Employees of the National Guard for State and State-Sponsored Employee Retirement, Disability, or Death Benefits Programs","1962","35-Kennedy",FALSE,"__DOD__",858,0,"10679","","http://www.presidency.ucsb.edu/ws/index.php?pid=58934"
"Amendment of Executive Order 9805 Prescribing Regulations Governing Payment of Certain Travel and Transportation Expenses","1950","33-Truman",FALSE,"__economy__; __foreign__",1590,0,"9805; 9933; 9997; 10069","10274; 10507; 11012","http://www.presidency.ucsb.edu/ws/index.php?pid=78287"
"Providing Assistance for the Removal of an Obstruction of Justice Within the State of Arkansas","1957","34-Eisenhower",FALSE,"__DOD__",566,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=75572"
"Amending Executive Order No. 11649, Regulations Governing the Seals of the President and the Vice President of the United States","1976","38-Ford",FALSE,"",75,0,"11649","","http://www.presidency.ucsb.edu/ws/index.php?pid=23656"
"Federal Emergency Management Agency","1979","39-Carter",FALSE,"__OMB__; __DOC__; __HUD__",557,0,"12046","","http://www.presidency.ucsb.edu/ws/index.php?pid=32127"
"President's Task Force on Market Mechanisms","1987","40-Reagan",FALSE,"",93,0,"12614","","http://www.presidency.ucsb.edu/ws/index.php?pid=33871"
