"","t.1","t.2","t.3","t.4","t.5","t.6","t.7","t.8","t.9","t.10","t.11","t.12","t.13","t.14","t.15","t.16","t.17","t.18","t.19","t.20","t.21","t.22","t.23","t.24","t.25","t.26","t.27","t.28","t.29","t.30","t.31","t.32","t.33","t.34","t.35","t.36","t.37","t.38","t.39","t.40","t.41","t.42","t.43","t.44","t.45","t.46","t.47","t.48","t.49","t.50","t.51","t.52","t.53","t.54","t.55","t.56","t.57","t.58","t.59","t.60","t.61","t.62","t.63","t.64","t.65","t.66","t.67","t.68","t.69","t.70","t.71","t.72","t.73","t.74","t.75","t.76","t.77","t.78","t.79","t.80"
"12232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621951070791377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378048929208623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264705709344596,0,0,0,0,0,0,0,0,0,0.32352854672298,0,0,0,0,0,0.0882371972094446,0,0,0,0.32352854672298,0,0,0
"11814",0,0,0,0,0,0,0,0,0,0,0,0,0,0.153284842026124,0,0,0,0,0,0,0,0.474451553096522,0,0,0,0,0,0.0875916511253609,0,0,0,0,0,0,0,0,0,0,0,0.116788624859033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16788332889296,0,0,0,0
"12184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303278265253011,0,0,0,0,0,0,0,0,0,0.163934574038631,0,0,0,0,0.0655743214167155,0,0.139344510883152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32786832840849,0,0,0,0,0,0,0,0,0,0,0
"9791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110599284333446,0,0,0,0,0,0,0,0,0,0.364054921532439,0.396312911721402,0.0645164412063567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645164412063567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11089",0,0,0,0,0,0,0,0.0895885330861665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532689556717136,0,0,0,0,0,0,0,0,0,0.0629541763155677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794188334926552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346152366886663,0,0,0,0,0,0,0,0.115386686358671,0,0,0,0,0,0,0,0,0,0.269230473377333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269230473377333,0,0,0,0,0,0,0,0,0,0,0,0,0
"12791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714306122351798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92856938776482,0,0,0
