"num","title","link","year","word.count","president","party","eoMatches","matchWords","st.flag","matchWords.num","stMatch.count","stMatchRatio","PropSTtopic"
"13046","Further Amendment to Executive Order 12975, Extension of the National Bioethics Advisory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=54145","1997",89,"42-William J. Clinton","D","12975","",FALSE,0,0,0,0.136365082611759
"11438","Prescribing Procedures Governing Interdepartmental Cash Awards to the Members of the Armed Forces","http://www.presidency.ucsb.edu/ws/index.php?pid=59176","1968",494,"36-Lyndon B. Johnson","D","","__science/research__; __economy__; __DOT__; __DOD__",TRUE,4,6,0.0121457489878543,0.135714612243965
"11268","Placing an Additional Position in Level V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=105690","1966",93,"36-Lyndon B. Johnson","D","11248","__science/research__; __engineering__; __DOD__",TRUE,3,2,0.021505376344086,0.133335333313334
"9673","Transfer of Certain Production Research and Development Functions from the Civilian Production Administration to the Department of Commerce","http://www.presidency.ucsb.edu/ws/index.php?pid=78049","1946",194,"33-Harry S. Truman","D","","__science/research__; __DOC__; __war__; __OMB__",TRUE,4,3,0.0154639175257732,0.128572306118688
"12509","Technical Review Group on Inertial Confinement Fusion","http://www.presidency.ucsb.edu/ws/index.php?pid=38464","1985",387,"40-Ronald Reagan","R","","__DOD__; __OSTP__; __energy__; __science/research__; __DOE__",TRUE,5,6,0.0155038759689922,0.125000086805134
"12961","Presidential Advisory Committee on Gulf War Veterans' Illnesses","http://www.presidency.ucsb.edu/ws/index.php?pid=51416","1995",781,"42-William J. Clinton","D","","__war__; __DOD__; __VA__; __HHS__; __science/research__; __medical__; __health__; __NIH__; __technology__; __environment__",TRUE,10,13,0.0166453265044814,0.119298303477851
"12517","Delegation Concerning the United States- India Fund for Cultural, Educational, and Scientific Cooperation","http://www.presidency.ucsb.edu/ws/index.php?pid=38703","1985",183,"40-Ronald Reagan","R","","__education__; __science/research__; __State__; __DOC__; __DOTr__",TRUE,5,3,0.0163934426229508,0.117648096877672
"12641","John C. Stennis Space Center","http://www.presidency.ucsb.edu/ws/index.php?pid=35861","1988",214,"40-Ronald Reagan","R","","__NASA__; __technology__",TRUE,2,3,0.014018691588785,0.116667361105324
"10799","Providing Further for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=106497","1959",218,"34-Dwight D. Eisenhower","R","10560","__NSF__; __OMB__; __science/research__",TRUE,3,4,0.018348623853211,0.11538542898626
"13134","Developing and Promoting Biobased Products and Bioenergy","http://www.presidency.ucsb.edu/ws/index.php?pid=58047","1999",1565,"42-William J. Clinton","D","13101","__energy__; __technology__; __economy__; __foreign__; __science/research__; __USDA__; __EPA__; __OMB__; __NSF__; __environment__; __DOE__; __security__; __budget__; __university__",TRUE,14,64,0.0408945686900958,0.114958475802032
"9942","Providing for the Performance of Certain Functions Under the Rubber Act of 1948","http://www.presidency.ucsb.edu/ws/index.php?pid=78179","1948",244,"33-Harry S. Truman","D","","__DOC__; __science/research__",TRUE,2,1,0.00409836065573771,0.114755173335213
"11195","Placing Additional Positions in Levels IV and V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=60528","1965",123,"36-Lyndon B. Johnson","D","11189","__State__; __science/research__; __economy__",TRUE,3,1,0.00813008130081301,0.114286938758018
"10739","Amendment of Executive Order No. 10152, Prescribing Regulations Relating to Incentive Pay for the Performance of Hazardous Duty by Members of the Uniformed Services","http://www.presidency.ucsb.edu/ws/index.php?pid=106344","1957",154,"34-Dwight D. Eisenhower","R","10152; 10618","",FALSE,0,0,0,0.113208793157775
"11393","Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=106201","1968",91,"36-Lyndon B. Johnson","D","11248; 11268","__science/research__; __engineering__; __DOD__",TRUE,3,2,0.021978021978022,0.111113991748209
"12026","Energy Department Employees","http://www.presidency.ucsb.edu/ws/index.php?pid=6986","1977",141,"39-Jimmy Carter","D","","__energy__; __DOE__; __AEC__; __science/research__",TRUE,4,7,0.049645390070922,0.111112345668039
"11953","Assigning Emergency Preparedness Functions to the Energy Research and Development Administration and Nuclear Regulatory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=23763","1977",1391,"38-Gerald R. Ford","R","11490; 11921","__energy__; __science/research__; __NRC__; __security__; __AEC__; __nuclear__; __DOD__; __health__; __environment__; __technology__; __engineering__; __foreign__; __DOC__; __State__",TRUE,14,75,0.0539180445722502,0.111111185933345
"12420","Incentive Pay for Hazardous Duty","http://www.presidency.ucsb.edu/ws/index.php?pid=41308","1983",314,"40-Ronald Reagan","R","11157","__medical__; __science/research__",TRUE,2,2,0.00636942675159236,0.108696148390498
"12747","National Nutrition Monitoring Advisory Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23586","1991",990,"41-George H. W. Bush","R","","__science/research__; __USDA__; __HHS__; __health__; __medical__; __education__; __technology__; __engineering__; __economy__",TRUE,9,12,0.0121212121212121,0.108187268732063
"11394","Establishing the President's Commission for the Observance of Human Rights Year 1968","http://www.presidency.ucsb.edu/ws/index.php?pid=60559","1968",854,"36-Lyndon B. Johnson","D","","__State__; __DOJ__; __DOL__; __health__; __education__; __HUD__",FALSE,6,0,0,0.105882495962755
