"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio","energy.flag","medical.flag"
"12275","Design Liaison Council","http://www.presidency.ucsb.edu/ws/index.php?pid=44549","1981",343,"39-Jimmy Carter","D","__State__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __HHS__; __HUD__; __DOT__; __DOE__; __DOEd__; __EPA__; __NASA__; __GSA__; __art__; __energy__; __engineering__; __science/research__",TRUE,0.0145772594752187,TRUE,FALSE
"13569","Amendments to Executive Orders 12824, 12835, 12859, and 13532, Reestablishment Pursuant to Executive Order 13498, and Revocation of Executive Order 13507","http://www.presidency.ucsb.edu/ws/index.php?pid=90233","2011",344,"44-Barack Obama","D","__economy__; __energy__; __CEQ__; __innovation__; __university__; __health__",TRUE,0.0145348837209302,TRUE,FALSE
"13621","White House Initiative on Educational Excellence for African Americans","http://www.presidency.ucsb.edu/ws/index.php?pid=101576","2012",2604,"44-Barack Obama","D","__education__; __university__; __economy__; __DOEd__; __environment__; __innovation__; __health__; __science/research__; __technology__; __engineering__; __math__; __DOJ__; __DOL__; __HHS__; __NSF__; __DOD__; __GSA__; __OMB__; __budget__",TRUE,0.0138248847926267,TRUE,FALSE
"12040","Environmental Evaluation Functions","http://www.presidency.ucsb.edu/ws/index.php?pid=30417","1978",220,"39-Jimmy Carter","D","__environment__; __nuclear__; __energy__; __science/research__; __CEQ__; __EPA__; __OMB__",TRUE,0.0136363636363636,TRUE,FALSE
"12241","Accidents at Nuclear Power Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=45164","1980",147,"39-Jimmy Carter","D","__nuclear__; __health__",TRUE,0.0136054421768707,TRUE,FALSE
"10127","Establishing Airspace Reservations Over Certain Facilities of the United States Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=60766","1950",372,"33-Harry S. Truman","D","__AEC__; __engineering__",TRUE,0.0134408602150538,TRUE,FALSE
"13580","Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska","http://www.presidency.ucsb.edu/ws/index.php?pid=90622","2011",897,"44-Barack Obama","D","__energy__; __foreign__; __health__; __environment__; __DOI__; __DOD__; __DOC__; __USDA__; __DOE__; __DHS__; __EPA__; __security__; __CEQ__; __OSTP__; __OMB__; __science/research__; __budget__",TRUE,0.0133779264214047,TRUE,FALSE
"12499","President's Blue Ribbon Task Group on Nuclear Weapons Program Management","http://www.presidency.ucsb.edu/ws/index.php?pid=38644","1985",536,"40-Ronald Reagan","R","__nuclear__; __DOD__; __education__; __DOE__; __science/research__; __GSA__",TRUE,0.0130597014925373,TRUE,FALSE
"10223","Further Providing for the Performance of Certain Functions Under the Defense Production Act of 1950","http://www.presidency.ucsb.edu/ws/index.php?pid=60792","1951",155,"33-Harry S. Truman","D","__AEC__",TRUE,0.0129032258064516,TRUE,FALSE
"10542","Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Operations of Atomic Energy Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=106449","1954",233,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __AEC__; __foreign__",TRUE,0.0128755364806867,TRUE,FALSE
"9934","Creating a Board of Inquiry to Report on a Labor Dispute Affecting the Operation of Atomic Energy Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=78170","1948",234,"33-Harry S. Truman","D","__nuclear__; __energy__; __foreign__",TRUE,0.0128205128205128,TRUE,FALSE
"12659","Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves","http://www.presidency.ucsb.edu/ws/index.php?pid=35269","1988",158,"40-Ronald Reagan","R","__DOE__",TRUE,0.0126582278481013,TRUE,FALSE
"10543","Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Operations of Atomic Energy Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=106450","1954",240,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __foreign__; __health__",TRUE,0.0125,TRUE,FALSE
"13591","Continuance of Certain Federal Advisory Committees","http://www.presidency.ucsb.edu/ws/index.php?pid=97321","2011",326,"44-Barack Obama","D","__HHS__; __university__; __DOEd__; __GSA__; __PCAST__; __OSTP__; __health__",TRUE,0.0122699386503067,TRUE,FALSE
