"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio"
"11855","Membership of the Energy Resources Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23927","1975",249,"38-Gerald R. Ford","R","__energy__; __State__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __health__; __education__; __HUD__; __DOT__; __OMB__; __economy__; __ERDA__; __NRC__; __EPA__; __CEQ__; __NSF__; __GSA__; __security__",TRUE,0.0240963855421687
"12975","Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=50599","1995",1068,"42-William J. Clinton","D","__science/research__; __education__; __medical__; __university__; __health__; __NSTC__; __technology__; __HHS__; __GSA__",TRUE,0.0234082397003745
"10910","Providing for the Design and Award of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=59290","1961",470,"34-Dwight D. Eisenhower","R","__science/research__; __math__; __engineering__; __NSF__",TRUE,0.0234042553191489
"11912","Delegation of Authorities Relating to Energy Policy and Conservation","http://www.presidency.ucsb.edu/ws/index.php?pid=59200","1976",1385,"38-Gerald R. Ford","R","__energy__; __GSA__; __DOT__; __science/research__; __DOC__; __State__; __DOJ__; __security__",TRUE,0.0231046931407942
"11882","Membership of Energy Research and Development Administration on Established River Basin Commissions","http://www.presidency.ucsb.edu/ws/index.php?pid=23948","1975",217,"38-Gerald R. Ford","R","__ERDA__; __DOT__; __AEC__",TRUE,0.0230414746543779
"13100","President's Council on Food Safety","http://www.presidency.ucsb.edu/ws/index.php?pid=54817","1998",767,"42-William J. Clinton","D","__science/research__; __education__; __USDA__; __HHS__; __OMB__; __EPA__; __technology__; __OSTP__; __health__; __budget__; __NSTC__",TRUE,0.0221642764015645
"11393","Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=106201","1968",91,"36-Lyndon B. Johnson","D","__science/research__; __engineering__; __DOD__",TRUE,0.021978021978022
"13221","Energy Efficient Standby Power Devices","http://www.presidency.ucsb.edu/ws/index.php?pid=61502","2001",319,"43-George W. Bush","R","__energy__; __DOE__; __DOD__; __GSA__",TRUE,0.0219435736677116
"13237","Creation of the Presidents Council on Bioethics","http://www.presidency.ucsb.edu/ws/index.php?pid=61518","2001",960,"43-George W. Bush","R","__medical__; __science/research__; __technology__; __education__; __HHS__; __GSA__",TRUE,0.021875
"11268","Placing an Additional Position in Level V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=105690","1966",93,"36-Lyndon B. Johnson","D","__science/research__; __engineering__; __DOD__",TRUE,0.021505376344086
